Address,Latitude,Longitude
"6901 Granada Blvd, Florida",25.707285,-80.2632175
"520 S Mashta Dr, Florida",25.6833336,-80.1727652
"421 N Hibiscus Dr, Florida",25.7856325,-80.1645447
"5300 N Bay Rd, Florida",25.8314114,-80.1302529
"3258 Bird Ave, Florida",25.7349936,-80.2470482
"6445 Allison Rd, Florida",25.846669,-80.1235488
"4411 Pine Tree Dr, Florida",25.8168053,-80.1247102
"9111 Collins Ave Unit N-819, Florida",25.878318,-80.121264
"5050 Pine Dr, Florida",25.6922903,-80.2752928
"407 Ocean Blvd, Florida",26.4533946,-80.059411
"394 S Hibiscus Dr, Florida",25.783938,-80.1644865
"100 S Pointe Dr #3303, Florida",,
"9349 Collins Ave #901, Florida",,
"4400 Island Rd, Florida",27.6648274,-81.5157535
"205 N Hibiscus Dr, Florida",25.7837131,-80.15991679999999
"7481 Fisher Island Dr #7481, Florida",,
"125 Solano Prado, Florida",25.682819,-80.26160999999999
"50 S Pointe Dr #3401, Florida",,
"800 S Pointe Dr #1104, Florida",,
"700 Lakeview Dr, Florida",27.799928,-81.3746099
"91 N Hibiscus Dr, Florida",25.7825812,-80.15745989999999
"9349 Collins Ave #806, Florida",,
"9501 E Broadview Dr, Florida",25.8857791,-80.1344627
"5373 Fisher Island Dr #5373, Florida",,
"3648 Matheson Ave, Florida",25.7117247,-80.2517309
"1142 N Venetian Dr, Florida",25.790715,-80.1719115
"2000 N Bay Rd, Florida",25.7962577,-80.1413973
"11855 SW 60th Ave, Florida",25.6613007,-80.2890917
"17901 Collins Ave #4405, Florida",,
"3100 N Bay Rd, Florida",25.808377,-80.1382063
"5355 Hammock Dr, Florida",25.6861098,-80.2802842
"9261 School House Rd, Florida",26.8870656,-80.1001727
"84 Bal Bay Dr, Florida",25.8899283,-80.1281581
"269 N Hibiscus Dr, Florida",25.7842017,-80.1611286
"6835 Fisher Island Dr #6835, Florida",,
"2627 S Bayshore Dr Unit LPH 3101, Florida",25.7322107,-80.2349358
"17141 Collins Ave #4301, Florida",,
"10312 W Broadview Dr, Florida",27.6648274,-81.5157535
"13390 Biscayne Bay Dr, Florida",25.9000539,-80.14388330000001
"17975 Collins Ave #2001, Florida",,
"128 Ocean Blvd, Florida",25.9580588,-80.12023649999999
"17975 Collins Ave #2301, Florida",,
"N/A Address, Florida",27.6648274,-81.5157535
"1021 N Venetian Dr, Florida",25.7909501,-80.1743726
"1384 S Venetian Way, Florida",25.789904,-80.1664931
"200 Knollwood Dr, Florida",28.2186613,-81.651121
"11755 SW 68th Ct, Florida",25.6619319,-80.3046758
"5369 Pine Tree Dr, Florida",25.8316547,-80.12396629999999
"10860 SW 67th Ct, Florida",25.6700242,-80.30440569999999
"6941 Sunrise Ct, Florida",28.055748,-81.9094882
